0	20	40	25
1	24	40	20
2	28	30	28
3	32	30	12
4	36	30	6
5	40	25	12
6	44	20	17
7	48	15	4
8	52	15	1
9	20	40	25
10	24	40	20
11	28	30	28
12	32	30	12
13	36	30	6
14	40	25	12
15	44	20	17
16	48	15	4
17	52	15	1
18	20	40	25
19	24	40	20
20	28	30	28
21	32	30	12
22	36	30	6
23	40	25	12
24	44	20	17
25	48	15	4
26	52	15	1
27	20	20	20
28	24	15	14
29	28	15	14.5
30	32	40	39
31	36	40	1
32	40	20	19
33	44	15	10
34	48	15	9
35	52	40	39
36	20	40	39
37	24	20	19
38	28	15	5
39	32	15	0
40	36	40	22
41	40	40	0.025
42	44	20	13
43	48	15	12.5
44	52	15	9.1
45	20	40	40
46	24	40	3
47	28	20	10
48	32	15	14
49	36	15	8
50	40	40	40
51	44	40	33.5
52	48	20	18
53	52	15	15
