carList
0	20	40	25.0	800.0	500.0
1	24	40	20.0	960.0	480.0
2	28	30	28.0	840.0	784.0
3	32	30	12.0	960.0	384.0
4	36	30	6.0	1080.0	216.0
5	40	25	12.0	1000.0	480.0
6	44	20	17.0	880.0	748.0
7	48	15	4.0	720.0	192.0
8	52	15	1.0	780.0	52.0
9	20	40	25.0	800.0	500.0
10	24	40	20.0	960.0	480.0
11	28	30	28.0	840.0	784.0
12	32	30	12.0	960.0	384.0
13	36	30	6.0	1080.0	216.0
14	40	25	12.0	1000.0	480.0
15	44	20	17.0	880.0	748.0
16	48	15	4.0	720.0	192.0
17	52	15	1.0	780.0	52.0
18	20	40	25.0	800.0	500.0
19	24	40	20.0	960.0	480.0
20	28	30	28.0	840.0	784.0
21	32	30	12.0	960.0	384.0
22	36	30	6.0	1080.0	216.0
23	40	25	12.0	1000.0	480.0
24	44	20	17.0	880.0	748.0
25	48	15	4.0	720.0	192.0
26	52	15	1.0	780.0	52.0
27	20	20	20.0	400.0	400.0
28	24	15	14.0	360.0	336.0
29	28	15	14.5	420.0	406.0
30	32	40	39.0	1280.0	1248.0
31	36	40	1.0	1440.0	36.0
32	40	20	19.0	800.0	760.0
33	44	15	10.0	660.0	440.0
34	48	15	9.0	720.0	432.0
35	52	40	39.0	2080.0	2028.0
36	20	40	39.0	800.0	780.0
37	24	20	19.0	480.0	456.0
38	28	15	5.0	420.0	140.0
39	32	15	0.0	480.0	0.0
40	36	40	22.0	1440.0	792.0
41	40	40	0.025	1600.0	1.0
42	44	20	13.0	880.0	572.0
43	48	15	12.5	720.0	600.0
44	52	15	9.1	780.0	473.2
45	20	40	40.0	800.0	800.0
46	24	40	3.0	960.0	72.0
47	28	20	10.0	560.0	280.0
48	32	15	14.0	480.0	448.0
49	36	15	8.0	540.0	288.0
50	40	40	40.0	1600.0	1600.0
51	44	40	33.5	1760.0	1474.0
52	48	20	18.0	960.0	864.0
53	52	15	15.0	780.0	780.0

carListByTotalRange iterator
28	24	15	14.0	360.0	336.0
38	28	15	5.0	420.0	140.0
27	20	20	20.0	400.0	400.0
37	24	20	19.0	480.0	456.0
39	32	15	0.0	480.0	0.0
48	32	15	14.0	480.0	448.0
29	28	15	14.5	420.0	406.0
7	48	15	4.0	720.0	192.0
33	44	15	10.0	660.0	440.0
9	20	40	25.0	800.0	500.0
43	48	15	12.5	720.0	600.0
49	36	15	8.0	540.0	288.0
53	52	15	15.0	780.0	780.0
25	48	15	4.0	720.0	192.0
16	48	15	4.0	720.0	192.0
32	40	20	19.0	800.0	760.0
17	52	15	1.0	780.0	52.0
36	20	40	39.0	800.0	780.0
34	48	15	9.0	720.0	432.0
20	28	30	28.0	840.0	784.0
42	44	20	13.0	880.0	572.0
44	52	15	9.1	780.0	473.2
45	20	40	40.0	800.0	800.0
26	52	15	1.0	780.0	52.0
47	28	20	10.0	560.0	280.0
12	32	30	12.0	960.0	384.0
11	28	30	28.0	840.0	784.0
13	36	30	6.0	1080.0	216.0
6	44	20	17.0	880.0	748.0
14	40	25	12.0	1000.0	480.0
30	32	40	39.0	1280.0	1248.0
31	36	40	1.0	1440.0	36.0
3	32	30	12.0	960.0	384.0
15	44	20	17.0	880.0	748.0
0	20	40	25.0	800.0	500.0
35	52	40	39.0	2080.0	2028.0
1	24	40	20.0	960.0	480.0
18	20	40	25.0	800.0	500.0
8	52	15	1.0	780.0	52.0
4	36	30	6.0	1080.0	216.0
40	36	40	22.0	1440.0	792.0
41	40	40	0.025	1600.0	1.0
19	24	40	20.0	960.0	480.0
21	32	30	12.0	960.0	384.0
10	24	40	20.0	960.0	480.0
22	36	30	6.0	1080.0	216.0
46	24	40	3.0	960.0	72.0
5	40	25	12.0	1000.0	480.0
24	44	20	17.0	880.0	748.0
23	40	25	12.0	1000.0	480.0
50	40	40	40.0	1600.0	1600.0
51	44	40	33.5	1760.0	1474.0
52	48	20	18.0	960.0	864.0
2	28	30	28.0	840.0	784.0

carListByTotalRange iterator local
28	24	15	14.0	360.0	336.0
38	28	15	5.0	420.0	140.0
27	20	20	20.0	400.0	400.0
37	24	20	19.0	480.0	456.0
39	32	15	0.0	480.0	0.0
48	32	15	14.0	480.0	448.0
29	28	15	14.5	420.0	406.0
7	48	15	4.0	720.0	192.0
33	44	15	10.0	660.0	440.0
9	20	40	25.0	800.0	500.0
43	48	15	12.5	720.0	600.0
49	36	15	8.0	540.0	288.0
53	52	15	15.0	780.0	780.0
25	48	15	4.0	720.0	192.0
16	48	15	4.0	720.0	192.0
32	40	20	19.0	800.0	760.0
17	52	15	1.0	780.0	52.0
36	20	40	39.0	800.0	780.0
34	48	15	9.0	720.0	432.0
20	28	30	28.0	840.0	784.0
42	44	20	13.0	880.0	572.0
44	52	15	9.1	780.0	473.2
45	20	40	40.0	800.0	800.0
26	52	15	1.0	780.0	52.0
47	28	20	10.0	560.0	280.0
12	32	30	12.0	960.0	384.0
11	28	30	28.0	840.0	784.0
13	36	30	6.0	1080.0	216.0
6	44	20	17.0	880.0	748.0
14	40	25	12.0	1000.0	480.0
30	32	40	39.0	1280.0	1248.0
31	36	40	1.0	1440.0	36.0
3	32	30	12.0	960.0	384.0
15	44	20	17.0	880.0	748.0
0	20	40	25.0	800.0	500.0
35	52	40	39.0	2080.0	2028.0
1	24	40	20.0	960.0	480.0
18	20	40	25.0	800.0	500.0
8	52	15	1.0	780.0	52.0
4	36	30	6.0	1080.0	216.0
